round_date,golfer,course_name,round_number,game,stroke_index,hole,yards,par,score,vs_par
2022-09-25,1,The Oaks,3,Scramble,16,1,157,3,3,0
2022-09-25,1,The Oaks,3,Scramble,1,2,358,4,5,1
2022-09-25,1,The Oaks,3,Scramble,12,3,185,3,5,2
2022-09-25,1,The Oaks,3,Scramble,3,4,401,4,5,1
2022-09-25,1,The Oaks,3,Scramble,4,5,357,4,7,3
2022-09-25,1,The Oaks,3,Scramble,18,6,307,4,5,1
2022-09-25,1,The Oaks,3,Scramble,7,7,496,5,7,2
2022-09-25,1,The Oaks,3,Scramble,2,8,375,4,5,1
2022-09-25,1,The Oaks,3,Scramble,15,9,135,3,5,2
2022-09-25,1,The Oaks,3,Scramble,17,10,305,4,4,0
2022-09-25,1,The Oaks,3,Scramble,6,11,326,4,4,0
2022-09-25,1,The Oaks,3,Scramble,9,12,182,3,4,1
2022-09-25,1,The Oaks,3,Scramble,13,13,284,4,5,1
2022-09-25,1,The Oaks,3,Scramble,8,14,485,5,5,0
2022-09-25,1,The Oaks,3,Scramble,14,15,162,3,4,1
2022-09-25,1,The Oaks,3,Scramble,5,16,362,4,6,2
2022-09-25,1,The Oaks,3,Scramble,10,17,480,5,7,2
2022-09-25,1,The Oaks,3,Scramble,11,18,311,4,6,2
2022-10-15,1,Hurtmore,4,Singles,12,1,321,4,7,3
2022-10-15,1,Hurtmore,4,Singles,8,2,175,3,6,3
2022-10-15,1,Hurtmore,4,Singles,2,3,436,4,4,0
2022-10-15,1,Hurtmore,4,Singles,18,4,228,4,7,3
2022-10-15,1,Hurtmore,4,Singles,6,5,116,3,8,5
2022-10-15,1,Hurtmore,4,Singles,4,6,346,4,7,3
2022-10-15,1,Hurtmore,4,Singles,16,7,264,4,6,2
2022-10-15,1,Hurtmore,4,Singles,14,8,252,4,6,2
2022-10-15,1,Hurtmore,4,Singles,10,9,347,4,9,5
2022-10-15,1,Hurtmore,4,Singles,11,10,318,4,7,3
2022-10-15,1,Hurtmore,4,Singles,15,11,257,4,6,2
2022-10-15,1,Hurtmore,4,Singles,1,12,359,4,6,2
2022-10-15,1,Hurtmore,4,Singles,13,13,303,4,5,1
2022-10-15,1,Hurtmore,4,Singles,3,14,294,4,8,4
2022-10-15,1,Hurtmore,4,Singles,5,15,511,5,10,5
2022-10-15,1,Hurtmore,4,Singles,7,16,125,3,7,4
2022-10-15,1,Hurtmore,4,Singles,17,17,238,4,8,4
2022-10-15,1,Hurtmore,4,Singles,9,18,325,4,5,1
2022-10-15,1,Hurtmore,4,Singles,12,1,321,4,6,2
2022-10-15,1,Hurtmore,4,Singles,8,2,175,3,6,3
2022-10-15,1,Hurtmore,4,Singles,2,3,436,4,7,3
2022-10-15,1,Hurtmore,4,Singles,18,4,228,4,6,2
2022-10-15,1,Hurtmore,4,Singles,6,5,116,3,6,3
2022-10-15,1,Hurtmore,4,Singles,4,6,346,4,5,1
2022-10-15,1,Hurtmore,4,Singles,16,7,264,4,7,3
2022-10-15,1,Hurtmore,4,Singles,14,8,252,4,7,3
2022-10-15,1,Hurtmore,4,Singles,10,9,347,4,7,3
2022-10-15,1,Hurtmore,4,Singles,11,10,318,4,6,2
2022-10-15,1,Hurtmore,4,Singles,15,11,257,4,4,0
2022-10-15,1,Hurtmore,4,Singles,1,12,359,4,7,3
2022-10-15,1,Hurtmore,4,Singles,13,13,303,4,10,6
2022-10-15,1,Hurtmore,4,Singles,3,14,294,4,5,1
2022-10-15,1,Hurtmore,4,Singles,5,15,511,5,9,4
2022-10-15,1,Hurtmore,4,Singles,7,16,125,3,5,2
2022-10-15,1,Hurtmore,4,Singles,17,17,238,4,10,6
2022-10-15,1,Hurtmore,4,Singles,9,18,325,4,7,3
2022-10-15,1,Hurtmore,4,Singles,12,1,321,4,6,2
2022-10-15,1,Hurtmore,4,Singles,8,2,175,3,4,1
2022-10-15,1,Hurtmore,4,Singles,2,3,436,4,10,6
2022-10-15,1,Hurtmore,4,Singles,18,4,228,4,6,2
2022-10-15,1,Hurtmore,4,Singles,6,5,116,3,5,2
2022-10-15,1,Hurtmore,4,Singles,4,6,346,4,7,3
2022-10-15,1,Hurtmore,4,Singles,16,7,264,4,4,0
2022-10-15,1,Hurtmore,4,Singles,14,8,252,4,6,2
2022-10-15,1,Hurtmore,4,Singles,10,9,347,4,10,6
2022-10-15,1,Hurtmore,4,Singles,11,10,318,4,6,2
2022-10-15,1,Hurtmore,4,Singles,15,11,257,4,6,2
2022-10-15,1,Hurtmore,4,Singles,1,12,359,4,5,1
2022-10-15,1,Hurtmore,4,Singles,13,13,303,4,8,4
2022-10-15,1,Hurtmore,4,Singles,3,14,294,4,4,0
2022-10-15,1,Hurtmore,4,Singles,5,15,511,5,7,2
2022-10-15,1,Hurtmore,4,Singles,7,16,125,3,4,1
2022-10-15,1,Hurtmore,4,Singles,17,17,238,4,5,1
2022-10-15,1,Hurtmore,4,Singles,9,18,325,4,6,2
